"","pgID","interpChr","interpOrd","og","repGene","genome","chr","start","end","hap1","salicifolius","hap2"
"343",5536,"X",4201,17859,"NChap1_final_00004201","hap1","X",137901879,137902341,"NChap1_final_00004201","R_salicifolius_00018094",""
"344",5538,"X",4202,17865,"NChap1_final_00004202","hap1","X",137903264,137908375,"NChap1_final_00004202","R_salicifolius_00018095",""
"345",5563,"X",4212,17857,"NChap1_final_00004212","hap1","X",138601921,138604329,"NChap1_final_00004212","R_salicifolius_00018103",""
"346",5649,"X",4257,17868,"NChap1_final_00004257","hap1","X",141362929,141366924,"NChap1_final_00004257","R_salicifolius_00018142",""
"347",5681,"X",4277,17866,"NChap1_final_00004277","hap1","X",142352382,142352865,"NChap1_final_00004277","R_salicifolius_00018031",""
"348",5692,"X",4287,17869,"NChap1_final_00004287","hap1","X",143090635,143093525,"NChap1_final_00004287","R_salicifolius_00018034",""
"349",5705,"X",4302,17881,"NChap1_final_00004302","hap1","X",144144774,144146427,"NChap1_final_00004302","R_salicifolius_00019350",""
"350",5713,"X",4310,17871,"NChap1_final_00004310","hap1","X",144839906,144842169,"NChap1_final_00004310","R_salicifolius_00019347",""
"351",5716,"X",4313,17875,"NChap1_final_00004313","hap1","X",145105742,145109171,"NChap1_final_00004313","R_salicifolius_00019346",""
"352",5730,"X",4317,17877,"NChap1_final_00004317","hap1","X",145553181,145560413,"NChap1_final_00004317","R_salicifolius_00019334",""
"353",5733,"X",4321,17880,"NChap1_final_00004321","hap1","X",145759601,145767847,"NChap1_final_00004321","R_salicifolius_00019333",""
"354",5736,"X",4325,17878,"NChap1_final_00004325","hap1","X",146216720,146242740,"NChap1_final_00004325","R_salicifolius_00019332",""
"355",5738,"X",4326,17879,"NChap1_final_00004326","hap1","X",146235632,146247627,"NChap1_final_00004326","R_salicifolius_00019330",""
"356",5748,"X",4337,17901,"NChap1_final_00004337","hap1","X",146734742,146740785,"NChap1_final_00004337","R_salicifolius_00018952",""
"357",5750,"X",4339,17884,"NChap1_final_00004339","hap1","X",146847425,146850197,"NChap1_final_00004339","R_salicifolius_00018951",""
"358",5769,"X",4353,17876,"NChap1_final_00004353","hap1","X",147009680,147029639,"NChap1_final_00004353","R_salicifolius_00018945",""
"359",5807,"X",4386,17888,"NChap1_final_00004386","hap1","X",148041104,148046834,"NChap1_final_00004386","R_salicifolius_00018864",""
"360",5809,"X",4388,17889,"NChap1_final_00004388","hap1","X",148073281,148075175,"NChap1_final_00004388","R_salicifolius_00018858",""
"361",5810,"X",4389,17883,"NChap1_final_00004389","hap1","X",148075965,148078935,"NChap1_final_00004389","R_salicifolius_00018859",""
"362",5833,"X",4391,17882,"NChap1_final_00004391","hap1","X",148150497,148152165,"NChap1_final_00004391","R_salicifolius_00018897",""
"363",5846,"X",4392,17896,"NChap1_final_00004392","hap1","X",148187635,148193761,"NChap1_final_00004392","R_salicifolius_00018896",""
"364",5849,"X",4393,17897,"NChap1_final_00004393","hap1","X",148196132,148207512,"NChap1_final_00004393","R_salicifolius_00018902",""
"365",5882,"X",4411,17898,"NChap1_final_00004411","hap1","X",148629068,148632626,"NChap1_final_00004411","R_salicifolius_00018919",""
"366",5883,"X",4412,17900,"NChap1_final_00004412","hap1","X",148713229,148720403,"NChap1_final_00004412","R_salicifolius_00018792",""
"367",5885,"X",4414,17899,"NChap1_final_00004414","hap1","X",148726265,148728275,"NChap1_final_00004414","R_salicifolius_00018788",""
"368",5958,"X",4448,17893,"NChap1_final_00004448","hap1","X",149540658,149543858,"NChap1_final_00004448","R_salicifolius_00018839",""
"369",5959,"X",4449,17894,"NChap1_final_00004449","hap1","X",149547456,149551939,"NChap1_final_00004449","R_salicifolius_00018824",""
"370",5970,"X",4450,17891,"NChap1_final_00004450","hap1","X",149640785,149644962,"NChap1_final_00004450","R_salicifolius_00018838",""
"371",5971,"X",4451,17892,"NChap1_final_00004451","hap1","X",149646151,149649580,"NChap1_final_00004451","R_salicifolius_00018815",""
"372",5975,"X",4456,17890,"NChap1_final_00004456","hap1","X",149699877,149707459,"NChap1_final_00004456","R_salicifolius_00018853",""
"373",5982,"X",4461,17906,"NChap1_final_00004461","hap1","X",149799437,149802250,"NChap1_final_00004461","R_salicifolius_00018774",""
"374",5992,"X",4467,17907,"NChap1_final_00004467","hap1","X",149843195,149844302,"NChap1_final_00004467","R_salicifolius_00018822",""
"375",6008,"X",4476,17904,"NChap1_final_00004476","hap1","X",149952149,149955152,"NChap1_final_00004476","R_salicifolius_00018756",""
"376",6016,"X",4479,17917,"NChap1_final_00004479","hap1","X",149995012,149996895,"NChap1_final_00004479","R_salicifolius_00018742",""
"377",6031,"X",4487,17895,"NChap1_final_00004487","hap1","X",150375014,150378505,"NChap1_final_00004487","R_salicifolius_00018724",""
"378",6135,"X",4536,17903,"NChap1_final_00004536","hap1","X",152170279,152173261,"NChap1_final_00004536","R_salicifolius_00021287",""
"379",6159,"X",4549,17909,"NChap1_final_00004549","hap1","X",152620357,152626541,"NChap1_final_00004549","R_salicifolius_00021299",""
"380",6180,"X",4564,17902,"NChap1_final_00004564","hap1","X",152849042,152853059,"NChap1_final_00004564","R_salicifolius_00021308",""
"381",6190,"X",4572,17905,"NChap1_final_00004572","hap1","X",153171225,153174900,"NChap1_final_00004572","R_salicifolius_00021315",""
"382",6191,"X",4573,17918,"NChap1_final_00004573","hap1","X",153189960,153194345,"NChap1_final_00004573","R_salicifolius_00021316",""
"383",6202,"X",4577,17921,"NChap1_final_00004577","hap1","X",153312534,153318395,"NChap1_final_00004577","R_salicifolius_00021330",""
"384",6207,"X",4581,17911,"NChap1_final_00004581","hap1","X",153588762,153591618,"NChap1_final_00004581","R_salicifolius_00021337",""
"385",6214,"X",4583,17912,"NChap1_final_00004583","hap1","X",153602119,153605505,"NChap1_final_00004583","R_salicifolius_00021344",""
"386",6236,"X",4592,17910,"NChap1_final_00004592","hap1","X",153758027,153771177,"NChap1_final_00004592","R_salicifolius_00021393",""
"387",6251,"X",4600,17922,"NChap1_final_00004600","hap1","X",154156269,154157098,"NChap1_final_00004600","R_salicifolius_00021391",""
"388",6278,"X",4622,17924,"NChap1_final_00004622","hap1","X",155455071,155456671,"NChap1_final_00004622","R_salicifolius_00021402",""
"389",6296,"X",4635,17914,"NChap1_final_00004635","hap1","X",155944099,155944596,"NChap1_final_00004635","R_salicifolius_00021407",""
"390",6301,"X",4639,17913,"NChap1_final_00004639","hap1","X",156179423,156182546,"NChap1_final_00004639","R_salicifolius_00021411",""
"391",6318,"X",4655,17916,"NChap1_final_00004655","hap1","X",157266735,157270720,"NChap1_final_00004655","R_salicifolius_00017878",""
"392",6319,"X",4656,17915,"NChap1_final_00004656","hap1","X",157270963,157272773,"NChap1_final_00004656","R_salicifolius_00017879",""
"393",6322,"X",4658,17925,"NChap1_final_00004658","hap1","X",157450054,157452411,"NChap1_final_00004658","R_salicifolius_00017881",""
"394",6331,"X",4664.2,17927,"NChap1_final_00004699","hap1","X",159246693,159255780,"NChap1_final_00004699","R_salicifolius_00017887",""
"395",6334,"X",4666,17920,"NChap1_final_00004666","hap1","X",157743880,157759502,"NChap1_final_00004666","R_salicifolius_00017890",""
"396",6348,"X",4675,17931,"NChap1_final_00004675","hap1","X",157929635,157944181,"NChap1_final_00004675","R_salicifolius_00017898",""
"397",6363,"X",4683,17919,"NChap1_final_00004683","hap1","X",158238731,158243240,"NChap1_final_00004683","R_salicifolius_00017908",""
"398",6386,"X",4696,17923,"NChap1_final_00004696","hap1","X",159167429,159169845,"NChap1_final_00004696","R_salicifolius_00017916",""
"399",6388,"X",4700,17926,"NChap1_final_00004700","hap1","X",159256022,159259985,"NChap1_final_00004700","R_salicifolius_00017917",""
"400",6402,"X",4715,17950,"NChap1_final_00004715","hap1","X",159635471,159638127,"NChap1_final_00004715","R_salicifolius_00019944",""
"401",6404,"X",4717,17951,"NChap1_final_00004717","hap1","X",159658439,159661677,"NChap1_final_00004717","R_salicifolius_00019943",""
"402",6408,"X",4719,17947,"NChap1_final_00004719","hap1","X",159693356,159696491,"NChap1_final_00004719","R_salicifolius_00019940",""
"403",6409,"X",4720,17948,"NChap1_final_00004720","hap1","X",159697263,159699959,"NChap1_final_00004720","R_salicifolius_00019939",""
"404",6410,"X",4721,17949,"NChap1_final_00004721","hap1","X",159782435,159783619,"NChap1_final_00004721","R_salicifolius_00019938",""
"405",6414,"X",4722,17953,"NChap1_final_00004722","hap1","X",159795507,159799649,"NChap1_final_00004722","R_salicifolius_00019934",""
"406",6422,"X",4728,17943,"NChap1_final_00004728","hap1","X",159868811,159873774,"NChap1_final_00004728","R_salicifolius_00019931",""
"407",6424,"X",4729,17941,"NChap1_final_00004729","hap1","X",159900215,159903720,"NChap1_final_00004729","R_salicifolius_00019929",""
"408",6425,"X",4730,17944,"NChap1_final_00004730","hap1","X",159916520,159924788,"NChap1_final_00004730","R_salicifolius_00019928",""
"409",6426,"X",4731,17942,"NChap1_final_00004731","hap1","X",159937116,159938626,"NChap1_final_00004731","R_salicifolius_00019927",""
"410",6430,"X",4733,17932,"NChap1_final_00004733","hap1","X",160092610,160095401,"NChap1_final_00004733","R_salicifolius_00019924",""
"411",6437,"X",4740,17928,"NChap1_final_00004740","hap1","X",160246104,160248513,"NChap1_final_00004740","R_salicifolius_00019916",""
"412",6438,"X",4741,17929,"NChap1_final_00004741","hap1","X",160249986,160253986,"NChap1_final_00004741","R_salicifolius_00019917",""
"413",6441,"X",4744,17939,"NChap1_final_00004744","hap1","X",160376126,160376746,"NChap1_final_00004744","R_salicifolius_00019918",""
"414",6442,"X",4745,17940,"NChap1_final_00004745","hap1","X",160378856,160381115,"NChap1_final_00004745","R_salicifolius_00019919",""
"415",6443,"X",4746,17938,"NChap1_final_00004746","hap1","X",160385141,160387504,"NChap1_final_00004746","R_salicifolius_00019920",""
"416",6444,"X",4747,17945,"NChap1_final_00004747","hap1","X",160387798,160390129,"NChap1_final_00004747","R_salicifolius_00019921",""
"417",6452,"X",4757,17930,"NChap1_final_00004757","hap1","X",160540921,160543790,"NChap1_final_00004757","R_salicifolius_00019922",""
"418",6459,"X",4764,17934,"NChap1_final_00004764","hap1","X",160938011,160940249,"NChap1_final_00004764","R_salicifolius_00019293",""
"419",6471,"X",4776,17969,"NChap1_final_00004776","hap1","X",161230945,161243201,"NChap1_final_00004776","R_salicifolius_00019290",""
"420",6472,"X",4777,17970,"NChap1_final_00004777","hap1","X",161244627,161249348,"NChap1_final_00004777","R_salicifolius_00019289",""
"421",6479,"X",4786,17935,"NChap1_final_00004786","hap1","X",161726768,161729396,"NChap1_final_00004786","R_salicifolius_00019288",""
"422",6484,"X",4789,17933,"NChap1_final_00004789","hap1","X",161915936,161918326,"NChap1_final_00004789","R_salicifolius_00019285",""
"423",6487,"X",4794,17937,"NChap1_final_00004794","hap1","X",162541377,162542433,"NChap1_final_00004794","R_salicifolius_00019284",""
"424",6513,"X",4801,17936,"NChap1_final_00004801","hap1","X",163493439,163495728,"NChap1_final_00004801","R_salicifolius_00019261",""
"425",6521,"X",4803,17946,"NChap1_final_00004803","hap1","X",163925676,163930049,"NChap1_final_00004803","R_salicifolius_00019254",""
"426",6532,"X",4812,17965,"NChap1_final_00004812","hap1","X",164598255,164603987,"NChap1_final_00004812","R_salicifolius_00019249",""
"427",6533,"X",4813,17955,"NChap1_final_00004813","hap1","X",164604053,164606170,"NChap1_final_00004813","R_salicifolius_00019248",""
"428",6534,"X",4814,17956,"NChap1_final_00004814","hap1","X",164638153,164643017,"NChap1_final_00004814","R_salicifolius_00019247",""
"429",6545,"X",4824,17954,"NChap1_final_00004824","hap1","X",165055111,165055847,"NChap1_final_00004824","R_salicifolius_00019242",""
"430",6547,"X",4827,17957,"NChap1_final_00004827","hap1","X",165288506,165290023,"NChap1_final_00004827","R_salicifolius_00019241",""
"431",6550,"X",4829,17958,"NChap1_final_00004829","hap1","X",165369751,165373394,"NChap1_final_00004829","R_salicifolius_00019239",""
"432",6551,"X",4830,17959,"NChap1_final_00004830","hap1","X",165398946,165401763,"NChap1_final_00004830","R_salicifolius_00019237",""
"433",6554,"X",4832,17961,"NChap1_final_00004832","hap1","X",165579632,165582378,"NChap1_final_00004832","R_salicifolius_00019234",""
"434",6556,"X",4835,17962,"NChap1_final_00004835","hap1","X",165617442,165618947,"NChap1_final_00004835","R_salicifolius_00019232",""
"435",6561,"X",4840,17964,"NChap1_final_00004840","hap1","X",165938363,165942261,"NChap1_final_00004840","R_salicifolius_00019233",""
"436",6576,"X",4854,17971,"NChap1_final_00004854","hap1","X",167008544,167011766,"NChap1_final_00004854","R_salicifolius_00019230",""
"437",6578,"X",4856,17963,"NChap1_final_00004856","hap1","X",167094793,167096555,"NChap1_final_00004856","R_salicifolius_00019596",""
"438",6582,"X",4862,17960,"NChap1_final_00004862","hap1","X",167483456,167486155,"NChap1_final_00004862","R_salicifolius_00019595",""
"439",6586,"X",4867,17993,"NChap1_final_00004867","hap1","X",167649708,167663859,"NChap1_final_00004867","R_salicifolius_00019594",""
"440",6593,"X",4872,17982,"NChap1_final_00004872","hap1","X",168328815,168334697,"NChap1_final_00004872","R_salicifolius_00019590",""
"441",6596,"X",4875,17974,"NChap1_final_00004875","hap1","X",168916401,168922936,"NChap1_final_00004875","R_salicifolius_00019589",""
"442",6597,"X",4876,17975,"NChap1_final_00004876","hap1","X",168924602,168926431,"NChap1_final_00004876","R_salicifolius_00019588",""
"443",6601,"X",4882,17967,"NChap1_final_00004882","hap1","X",169437061,169440541,"NChap1_final_00004882","R_salicifolius_00019586",""
"444",6602,"X",4883,17973,"NChap1_final_00004883","hap1","X",169440912,169441903,"NChap1_final_00004883","R_salicifolius_00019585",""
"445",6624,"X",4900,17968,"NChap1_final_00004900","hap1","X",170721794,170724663,"NChap1_final_00004900","R_salicifolius_00019578",""
"446",6626,"X",4903,17985,"NChap1_final_00004903","hap1","X",170859426,170861732,"NChap1_final_00004903","R_salicifolius_00019577",""
"447",6628,"X",4905,17966,"NChap1_final_00004905","hap1","X",170918532,170922241,"NChap1_final_00004905","R_salicifolius_00019576",""
"448",6629,"X",4906,17978,"NChap1_final_00004906","hap1","X",171146653,171148001,"NChap1_final_00004906","R_salicifolius_00019536",""
"449",6632,"X",4908,17979,"NChap1_final_00004908","hap1","X",171167350,171170123,"NChap1_final_00004908","R_salicifolius_00019538",""
"450",6645,"X",4911,17972,"NChap1_final_00004911","hap1","X",171388041,171391717,"NChap1_final_00004911","R_salicifolius_00019550",""
"451",6650,"X",4918,17977,"NChap1_final_00004918","hap1","X",172024379,172028491,"NChap1_final_00004918","R_salicifolius_00019552",""
"452",6653,"X",4921,17984,"NChap1_final_00004921","hap1","X",172171874,172175104,"NChap1_final_00004921","R_salicifolius_00019554",""
"453",6656,"X",4925,17976,"NChap1_final_00004925","hap1","X",172637341,172641317,"NChap1_final_00004925","R_salicifolius_00019555",""
"454",6661,"X",4931,17980,"NChap1_final_00004931","hap1","X",172958004,172960724,"NChap1_final_00004931","R_salicifolius_00019558",""
"455",6662,"X",4932,17990,"NChap1_final_00004932","hap1","X",173064482,173069946,"NChap1_final_00004932","R_salicifolius_00019559",""
"456",6673,"X",4936,17991,"NChap1_final_00004936","hap1","X",173128742,173132195,"NChap1_final_00004936","R_salicifolius_00019567",""
"457",6677,"X",4939,18013,"NChap1_final_00004939","hap1","X",173240741,173242993,"NChap1_final_00004939","R_salicifolius_00019569",""
"458",6679,"X",4941,17983,"NChap1_final_00004941","hap1","X",173339766,173341286,"NChap1_final_00004941","R_salicifolius_00019531",""
"459",6688,"X",4948,18010,"NChap1_final_00004948","hap1","X",173619429,173626590,"NChap1_final_00004948","R_salicifolius_00019528",""
"460",6694,"X",4955,17994,"NChap1_final_00004955","hap1","X",173694186,173696748,"NChap1_final_00004955","R_salicifolius_00019527",""
"461",6695,"X",4956,17995,"NChap1_final_00004956","hap1","X",173697389,173700460,"NChap1_final_00004956","R_salicifolius_00019526",""
"462",6708,"X",4961,17986,"NChap1_final_00004961","hap1","X",174214251,174219996,"NChap1_final_00004961","R_salicifolius_00019523",""
"463",6733,"X",4974,17989,"NChap1_final_00004974","hap1","X",174844589,174861471,"NChap1_final_00004974","R_salicifolius_00019493",""
"464",6737,"X",4977,17981,"NChap1_final_00004977","hap1","X",175082777,175084035,"NChap1_final_00004977","R_salicifolius_00019494",""
"465",6747,"X",4985,17987,"NChap1_final_00004985","hap1","X",175428369,175433624,"NChap1_final_00004985","R_salicifolius_00019506",""
"466",6754,"X",4991,18000,"NChap1_final_00004991","hap1","X",175689505,175692538,"NChap1_final_00004991","R_salicifolius_00019504",""
"467",6761,"X",4998,18009,"NChap1_final_00004998","hap1","X",176023596,176034556,"NChap1_final_00004998","R_salicifolius_00019503",""
"468",6763,"X",5001,17998,"NChap1_final_00005001","hap1","X",176104067,176106150,"NChap1_final_00005001","R_salicifolius_00019501",""
"469",6766,"X",5003,17992,"NChap1_final_00005003","hap1","X",176197904,176201075,"NChap1_final_00005003","R_salicifolius_00019499",""
"470",6771,"X",5008,18040,"NChap1_final_00005008","hap1","X",176463652,176474801,"NChap1_final_00005008","R_salicifolius_00019491",""
"471",6772,"X",5009,17997,"NChap1_final_00005009","hap1","X",176548259,176551265,"NChap1_final_00005009","R_salicifolius_00019490",""
"472",6777,"X",5015,18004,"NChap1_final_00005015","hap1","X",176655646,176657405,"NChap1_final_00005015","R_salicifolius_00019489",""
"473",6780,"X",5018,17999,"NChap1_final_00005018","hap1","X",176740005,176745185,"NChap1_final_00005018","R_salicifolius_00019487",""
"474",6782,"X",5020,17996,"NChap1_final_00005020","hap1","X",177075372,177081479,"NChap1_final_00005020","R_salicifolius_00019488",""
"475",6797,"X",5036,18006,"NChap1_final_00005036","hap1","X",178501133,178506490,"NChap1_final_00005036","R_salicifolius_00019482",""
"476",6800,"X",5038,18007,"NChap1_final_00005038","hap1","X",178569668,178574766,"NChap1_final_00005038","R_salicifolius_00019478",""
"477",6806,"X",5045,18003,"NChap1_final_00005045","hap1","X",179762069,179781863,"NChap1_final_00005045","R_salicifolius_00019475",""
"478",6807,"X",5046,18002,"NChap1_final_00005046","hap1","X",179773272,179779328,"NChap1_final_00005046","R_salicifolius_00019476",""
"479",6811,"X",5049,18001,"NChap1_final_00005049","hap1","X",180268315,180272245,"NChap1_final_00005049","R_salicifolius_00019467",""
"480",6817,"X",5052,18005,"NChap1_final_00005052","hap1","X",181142117,181144276,"NChap1_final_00005052","R_salicifolius_00019473",""
"481",6820,"X",5054,18020,"NChap1_final_00005054","hap1","X",181272695,181276960,"NChap1_final_00005054","R_salicifolius_00019464",""
"482",6822,"X",5056,18008,"NChap1_final_00005056","hap1","X",181326298,181329059,"NChap1_final_00005056","R_salicifolius_00019463",""
"483",6834,"X",5061,18019,"NChap1_final_00005061","hap1","X",181598532,181601317,"NChap1_final_00005061","R_salicifolius_00019449",""
"484",6853,"X",5067,18016,"NChap1_final_00005067","hap1","X",181820692,181824564,"NChap1_final_00005067","R_salicifolius_00019436",""
"485",6855,"X",5069,18014,"NChap1_final_00005069","hap1","X",181924484,181927579,"NChap1_final_00005069","R_salicifolius_00019435",""
"486",6857,"X",5071,18015,"NChap1_final_00005071","hap1","X",181952831,181958946,"NChap1_final_00005071","R_salicifolius_00017797",""
"487",6862,"X",5075,18017,"NChap1_final_00005075","hap1","X",181983438,181991631,"NChap1_final_00005075","R_salicifolius_00017789",""
"488",6865,"X",5076,18018,"NChap1_final_00005076","hap1","X",181990747,181995315,"NChap1_final_00005076","R_salicifolius_00017792",""
"489",6877,"X",5092,18011,"NChap1_final_00005092","hap1","X",182622217,182623604,"NChap1_final_00005092","R_salicifolius_00019431",""
"490",6890,"X",5103,18033,"NChap1_final_00005103","hap1","X",183068208,183071657,"NChap1_final_00005103","R_salicifolius_00019420",""
"491",6922,"X",5119,18035,"NChap1_final_00005119","hap1","X",183630337,183636174,"NChap1_final_00005119","R_salicifolius_00017854",""
"492",6941,"X",5130,18025,"NChap1_final_00005130","hap1","X",184831303,184834935,"NChap1_final_00005130","R_salicifolius_00017842",""
"493",6942,"X",5131,18026,"NChap1_final_00005131","hap1","X",184836044,184839730,"NChap1_final_00005131","R_salicifolius_00017843",""
"494",6945,"X",5134,18038,"NChap1_final_00005134","hap1","X",184943168,184948617,"NChap1_final_00005134","R_salicifolius_00017844",""
"495",6950,"X",5137,18031,"NChap1_final_00005137","hap1","X",185327552,185333567,"NChap1_final_00005137","R_salicifolius_00017847",""
"496",6951,"X",5138,18032,"NChap1_final_00005138","hap1","X",185339762,185342233,"NChap1_final_00005138","R_salicifolius_00017848",""
"497",6953,"X",5140,18024,"NChap1_final_00005140","hap1","X",185752015,185758302,"NChap1_final_00005140","R_salicifolius_00017850",""
"498",6954,"X",5141,18027,"NChap1_final_00005141","hap1","X",185783504,185788509,"NChap1_final_00005141","R_salicifolius_00017835",""
"499",6959,"X",5143,18021,"NChap1_final_00005143","hap1","X",186156694,186159667,"NChap1_final_00005143","R_salicifolius_00017830",""
"500",6963,"X",5146,18028,"NChap1_final_00005146","hap1","X",186251080,186254686,"NChap1_final_00005146","R_salicifolius_00017833",""
"501",6965,"X",5148,18023,"NChap1_final_00005148","hap1","X",186295579,186299767,"NChap1_final_00005148","R_salicifolius_00017822",""
"502",6970,"X",5151,18022,"NChap1_final_00005151","hap1","X",186335517,186338228,"NChap1_final_00005151","R_salicifolius_00017824",""
"503",6978,"X",5156,18034,"NChap1_final_00005156","hap1","X",186660288,186663829,"NChap1_final_00005156","R_salicifolius_00017827",""
"504",6984,"X",5160,18029,"NChap1_final_00005160","hap1","X",186994033,186998433,"NChap1_final_00005160","R_salicifolius_00017816",""
"505",6985,"X",5161,18030,"NChap1_final_00005161","hap1","X",187346862,187392384,"NChap1_final_00005161","R_salicifolius_00017861",""
"506",6986,"X",5162,18059,"NChap1_final_00005162","hap1","X",187487522,187495231,"NChap1_final_00005162","R_salicifolius_00017859",""
"507",6987,"X",5164,18061,"NChap1_final_00005164","hap1","X",187520053,187528666,"NChap1_final_00005164","R_salicifolius_00021836",""
"508",6988,"X",5165,18060,"NChap1_final_00005165","hap1","X",187562618,187567910,"NChap1_final_00005165","R_salicifolius_00021837",""
"509",6999,"X",5172,18045,"NChap1_final_00005172","hap1","X",188148568,188153410,"NChap1_final_00005172","R_salicifolius_00021843",""
"510",7006,"X",5175,18046,"NChap1_final_00005175","hap1","X",188253682,188267057,"NChap1_final_00005175","R_salicifolius_00021841",""
"511",7008,"X",5177,18036,"NChap1_final_00005177","hap1","X",188581316,188585776,"NChap1_final_00005177","R_salicifolius_00021839",""
"512",7013,"X",5182,18037,"NChap1_final_00005182","hap1","X",188981112,188984225,"NChap1_final_00005182","R_salicifolius_00021823",""
"513",7018,"X",5186,18062,"NChap1_final_00005186","hap1","X",189314292,189321514,"NChap1_final_00005186","R_salicifolius_00021815",""
"514",7024,"X",5188,18063,"NChap1_final_00005188","hap1","X",189350331,189366105,"NChap1_final_00005188","R_salicifolius_00021850",""
"515",7030,"X",5190,18043,"NChap1_final_00005190","hap1","X",189422641,189425087,"NChap1_final_00005190","R_salicifolius_00021817",""
"516",7062,"X",5207,18039,"NChap1_final_00005207","hap1","X",190744703,190748022,"NChap1_final_00005207","R_salicifolius_00021824",""
"517",7072,"X",5213,18044,"NChap1_final_00005213","hap1","X",191456125,191460173,"NChap1_final_00005213","R_salicifolius_00021770",""
"518",7085,"X",5219,18050,"NChap1_final_00005219","hap1","X",191774260,191780352,"NChap1_final_00005219","R_salicifolius_00021771",""
"519",7096,"X",5223,18041,"NChap1_final_00005223","hap1","X",192213379,192216165,"NChap1_final_00005223","R_salicifolius_00021773",""
"520",7102,"X",5226,18052,"NChap1_final_00005226","hap1","X",192309581,192313598,"NChap1_final_00005226","R_salicifolius_00021763",""
"521",7114,"X",5235,18042,"NChap1_final_00005235","hap1","X",193082625,193087977,"NChap1_final_00005235","R_salicifolius_00021757",""
"522",7135,"X",5249,18047,"NChap1_final_00005249","hap1","X",193882278,193886158,"NChap1_final_00005249","R_salicifolius_00021742",""
"523",7136,"X",5251,18055,"NChap1_final_00005251","hap1","X",194005143,194007279,"NChap1_final_00005251","R_salicifolius_00021741",""
"524",7140,"X",5255,18054,"NChap1_final_00005255","hap1","X",194045429,194079266,"NChap1_final_00005255","R_salicifolius_00021740",""
"525",7143,"X",5256,18048,"NChap1_final_00005256","hap1","X",194417828,194425031,"NChap1_final_00005256","R_salicifolius_00021736",""
"526",7144,"X",5257,18072,"NChap1_final_00005257","hap1","X",194495661,194513136,"NChap1_final_00005257","R_salicifolius_00021735",""
"527",7230,"X",5281,18049,"NChap1_final_00005281","hap1","X",196794756,196796726,"NChap1_final_00005281","R_salicifolius_00021716",""
"528",7278,"X",5295,18053,"NChap1_final_00005295","hap1","X",197640477,197642954,"NChap1_final_00005295","R_salicifolius_00021702",""
"529",7299,"X",5305,18057,"NChap1_final_00005305","hap1","X",198131220,198135359,"NChap1_final_00005305","R_salicifolius_00021693",""
"530",7309,"X",5309,18051,"NChap1_final_00005309","hap1","X",198451181,198452922,"NChap1_final_00005309","R_salicifolius_00021690",""
"531",7347,"X",5336,18065,"NChap1_final_00005336","hap1","X",199748880,199749504,"NChap1_final_00005336","R_salicifolius_00021680",""
"532",7349,"X",5337,18064,"NChap1_final_00005337","hap1","X",199750853,199752969,"NChap1_final_00005337","R_salicifolius_00021681",""
"533",7351,"X",5339,18056,"NChap1_final_00005339","hap1","X",199799819,199801164,"NChap1_final_00005339","R_salicifolius_00021679",""
"534",7359,"X",5345,18066,"NChap1_final_00005345","hap1","X",200621283,200627137,"NChap1_final_00005345","R_salicifolius_00021677",""
"535",7367,"X",5351,18058,"NChap1_final_00005351","hap1","X",201260367,201261530,"NChap1_final_00005351","R_salicifolius_00021670",""
"536",7375,"X",5355,18070,"NChap1_final_00005355","hap1","X",202211104,202215524,"NChap1_final_00005355","R_salicifolius_00021664",""
"537",7376,"X",5356,18071,"NChap1_final_00005356","hap1","X",202235800,202236943,"NChap1_final_00005356","R_salicifolius_00021663",""
"538",7387,"X",5365,18074,"NChap1_final_00005365","hap1","X",202644284,202650000,"NChap1_final_00005365","R_salicifolius_00021658",""
"539",7389,"X",5367,18067,"NChap1_final_00005367","hap1","X",202686280,202688141,"NChap1_final_00005367","R_salicifolius_00021656",""
"540",7393,"X",5370,18068,"NChap1_final_00005370","hap1","X",202830538,202832256,"NChap1_final_00005370","R_salicifolius_00021652",""
"541",7426,"X",5400,18075,"NChap1_final_00005400","hap1","X",203885660,203888650,"NChap1_final_00005400","R_salicifolius_00017929",""
"542",7429,"X",5402,18076,"NChap1_final_00005402","hap1","X",203911323,203921814,"NChap1_final_00005402","R_salicifolius_00017932",""
"543",7579,"X",5506,18077,"NChap1_final_00005506","hap1","X",207789668,207793134,"NChap1_final_00005506","R_salicifolius_00018014",""
"544",7620,"X",5539,18079,"NChap1_final_00005539","hap1","X",209610100,209611780,"NChap1_final_00005539","R_salicifolius_00018160",""
"545",7644,"X",5554,18081,"NChap1_final_00005554","hap1","X",210176082,210191294,"NChap1_final_00005554","R_salicifolius_00018171",""
"546",7669,"X",5572,18078,"NChap1_final_00005572","hap1","X",211151974,211154709,"NChap1_final_00005572","R_salicifolius_00018182",""
"547",7710,"X",5605,18080,"NChap1_final_00005605","hap1","X",212464778,212467056,"NChap1_final_00005605","R_salicifolius_00018327",""
"548",7860,"X",5705,18083,"NChap1_final_00005705","hap1","X",217064995,217068288,"NChap1_final_00005705","R_salicifolius_00018229",""
"549",7866,"X",5714,18082,"NChap1_final_00005714","hap1","X",218078697,218081419,"NChap1_final_00005714","R_salicifolius_00018254",""
"550",7927,"X",5748,18084,"NChap1_final_00005748","hap1","X",220231970,220234606,"NChap1_final_00005748","R_salicifolius_00018201",""
